path_length,unique_nodes_visited,path_inefficiency_ratio,distractions,avg_hyperfocus,max_hyperfocus,backtracks,coverage,success,steps_to_success,memory_size,attention_threshold
201,33,6.090909090909091,200,0,0,0,0.33,False,,15,0.15
201,23,8.73913043478261,200,0,0,0,0.23,False,,15,0.15
201,30,6.7,200,0,0,0,0.3,False,,15,0.15
201,23,8.73913043478261,200,0,0,0,0.23,False,,15,0.15
201,29,6.931034482758621,200,0,0,0,0.29,False,,15,0.15
201,18,11.166666666666666,200,0,0,0,0.18,False,,15,0.15
20,20,1.0,19,0,0,0,0.2,True,20.0,15,0.15
27,27,1.0,26,0,0,0,0.27,True,27.0,15,0.15
201,18,11.166666666666666,200,0,0,0,0.18,False,,15,0.15
201,16,12.5625,200,0,0,0,0.16,False,,15,0.15
201,22,9.136363636363637,200,0,0,0,0.22,False,,15,0.15
201,32,6.28125,200,0,0,0,0.32,False,,15,0.15
11,11,1.0,10,0,0,0,0.11,True,11.0,15,0.15
201,18,11.166666666666666,200,0,0,0,0.18,False,,15,0.15
201,20,10.05,200,0,0,0,0.2,False,,15,0.15
201,29,6.931034482758621,200,0,0,0,0.29,False,,15,0.15
201,19,10.578947368421053,200,0,0,0,0.19,False,,15,0.15
201,32,6.28125,200,0,0,0,0.32,False,,15,0.15
22,22,1.0,21,0,0,0,0.22,True,22.0,15,0.15
201,35,5.742857142857143,200,0,0,0,0.35,False,,15,0.15
201,37,5.4324324324324325,200,0,0,0,0.37,False,,15,0.15
201,32,6.28125,200,0,0,0,0.32,False,,15,0.15
201,22,9.136363636363637,200,0,0,0,0.22,False,,15,0.15
201,29,6.931034482758621,200,0,0,0,0.29,False,,15,0.15
201,21,9.571428571428571,200,0,0,0,0.21,False,,15,0.15
14,14,1.0,13,0,0,0,0.14,True,14.0,15,0.15
201,23,8.73913043478261,200,0,0,0,0.23,False,,15,0.15
201,17,11.823529411764707,200,0,0,0,0.17,False,,15,0.15
29,29,1.0,28,0,0,0,0.29,True,29.0,15,0.15
201,32,6.28125,200,0,0,0,0.32,False,,15,0.15
17,17,1.0,16,0,0,0,0.17,True,17.0,15,0.15
23,23,1.0,22,0,0,0,0.23,True,23.0,15,0.15
201,40,5.025,200,0,0,0,0.4,False,,15,0.15
201,18,11.166666666666666,200,0,0,0,0.18,False,,15,0.15
201,20,10.05,200,0,0,0,0.2,False,,15,0.15
19,19,1.0,18,0,0,0,0.19,True,19.0,15,0.15
201,39,5.153846153846154,200,0,0,0,0.39,False,,15,0.15
201,17,11.823529411764707,200,0,0,0,0.17,False,,15,0.15
201,20,10.05,200,0,0,0,0.2,False,,15,0.15
201,29,6.931034482758621,200,0,0,0,0.29,False,,15,0.15
201,39,5.153846153846154,200,0,0,0,0.39,False,,15,0.15
201,17,11.823529411764707,200,0,0,0,0.17,False,,15,0.15
201,19,10.578947368421053,200,0,0,0,0.19,False,,15,0.15
201,20,10.05,200,0,0,0,0.2,False,,15,0.15
201,16,12.5625,200,0,0,0,0.16,False,,15,0.15
15,15,1.0,14,0,0,0,0.15,True,15.0,15,0.15
15,15,1.0,14,0,0,0,0.15,True,15.0,15,0.15
201,18,11.166666666666666,200,0,0,0,0.18,False,,15,0.15
201,23,8.73913043478261,200,0,0,0,0.23,False,,15,0.15
201,26,7.730769230769231,200,0,0,0,0.26,False,,15,0.15
