path_length,unique_nodes_visited,path_inefficiency_ratio,distractions,avg_hyperfocus,max_hyperfocus,backtracks,coverage,success,steps_to_success,memory_size,attention_threshold
201,39,5.153846153846154,200,0,0,0,0.39,False,,25,0.05
201,36,5.583333333333333,200,0,0,0,0.36,False,,25,0.05
201,31,6.483870967741935,200,0,0,0,0.31,False,,25,0.05
201,27,7.444444444444445,200,0,0,0,0.27,False,,25,0.05
201,44,4.568181818181818,200,0,0,0,0.44,False,,25,0.05
201,31,6.483870967741935,200,0,0,0,0.31,False,,25,0.05
201,34,5.911764705882353,200,0,0,0,0.34,False,,25,0.05
15,15,1.0,14,0,0,0,0.15,True,15.0,25,0.05
201,48,4.1875,200,0,0,0,0.48,False,,25,0.05
25,25,1.0,24,0,0,0,0.25,True,25.0,25,0.05
201,49,4.1020408163265305,200,0,0,0,0.49,False,,25,0.05
201,28,7.178571428571429,200,0,0,0,0.28,False,,25,0.05
201,28,7.178571428571429,200,0,0,0,0.28,False,,25,0.05
201,30,6.7,200,0,0,0,0.3,False,,25,0.05
5,5,1.0,4,0,0,0,0.05,True,5.0,25,0.05
20,20,1.0,19,0,0,0,0.2,True,20.0,25,0.05
28,28,1.0,27,0,0,0,0.28,True,28.0,25,0.05
201,30,6.7,200,0,0,0,0.3,False,,25,0.05
201,40,5.025,200,0,0,0,0.4,False,,25,0.05
201,34,5.911764705882353,200,0,0,0,0.34,False,,25,0.05
20,20,1.0,19,0,0,0,0.2,True,20.0,25,0.05
201,31,6.483870967741935,200,0,0,0,0.31,False,,25,0.05
26,26,1.0,25,0,0,0,0.26,True,26.0,25,0.05
201,40,5.025,200,0,0,0,0.4,False,,25,0.05
201,33,6.090909090909091,200,0,0,0,0.33,False,,25,0.05
10,10,1.0,9,0,0,0,0.1,True,10.0,25,0.05
201,30,6.7,200,0,0,0,0.3,False,,25,0.05
15,15,1.0,14,0,0,0,0.15,True,15.0,25,0.05
201,35,5.742857142857143,200,0,0,0,0.35,False,,25,0.05
7,7,1.0,6,0,0,0,0.07,True,7.0,25,0.05
201,30,6.7,200,0,0,0,0.3,False,,25,0.05
201,28,7.178571428571429,200,0,0,0,0.28,False,,25,0.05
25,25,1.0,24,0,0,0,0.25,True,25.0,25,0.05
43,43,1.0,42,0,0,0,0.43,True,43.0,25,0.05
201,31,6.483870967741935,200,0,0,0,0.31,False,,25,0.05
201,42,4.785714285714286,200,0,0,0,0.42,False,,25,0.05
35,35,1.0,34,0,0,0,0.35,True,35.0,25,0.05
201,40,5.025,200,0,0,0,0.4,False,,25,0.05
32,32,1.0,31,0,0,0,0.32,True,32.0,25,0.05
201,27,7.444444444444445,200,0,0,0,0.27,False,,25,0.05
201,39,5.153846153846154,200,0,0,0,0.39,False,,25,0.05
26,26,1.0,25,0,0,0,0.26,True,26.0,25,0.05
201,29,6.931034482758621,200,0,0,0,0.29,False,,25,0.05
29,29,1.0,28,0,0,0,0.29,True,29.0,25,0.05
201,37,5.4324324324324325,200,0,0,0,0.37,False,,25,0.05
201,38,5.2894736842105265,200,0,0,0,0.38,False,,25,0.05
201,37,5.4324324324324325,200,0,0,0,0.37,False,,25,0.05
17,17,1.0,16,0,0,0,0.17,True,17.0,25,0.05
201,55,3.6545454545454548,200,0,0,0,0.55,False,,25,0.05
201,27,7.444444444444445,200,0,0,0,0.27,False,,25,0.05
