path_length,unique_nodes_visited,path_inefficiency_ratio,distractions,avg_hyperfocus,max_hyperfocus,backtracks,coverage,success,steps_to_success,memory_size,attention_threshold
201,14,14.357142857142858,199,1.0,1,0,0.14,False,,10,0.65
201,39,5.153846153846154,178,1.2941176470588236,2,0,0.39,False,,10,0.65
201,15,13.4,184,1.0,1,0,0.15,False,,10,0.65
201,24,8.375,200,0.0,0,0,0.24,False,,10,0.65
201,43,4.674418604651163,181,1.1176470588235294,2,0,0.43,False,,10,0.65
201,38,5.2894736842105265,182,1.2,2,0,0.38,False,,10,0.65
201,16,12.5625,200,0.0,0,0,0.16,False,,10,0.65
201,45,4.466666666666667,178,1.2941176470588236,3,0,0.45,False,,10,0.65
201,23,8.73913043478261,200,0.0,0,0,0.23,False,,10,0.65
28,26,1.0769230769230769,26,1.0,1,0,0.26,True,28.0,10,0.65
201,22,9.136363636363637,200,0.0,0,0,0.22,False,,10,0.65
201,40,5.025,173,1.0384615384615385,2,0,0.4,False,,10,0.65
201,12,16.75,200,0.0,0,0,0.12,False,,10,0.65
201,32,6.28125,191,1.0,1,0,0.32,False,,10,0.65
45,26,1.7307692307692308,37,1.1666666666666667,2,0,0.26,True,45.0,10,0.65
201,16,12.5625,200,0.0,0,0,0.16,False,,10,0.65
201,17,11.823529411764707,200,0.0,0,0,0.17,False,,10,0.65
6,6,1.0,5,0.0,0,0,0.06,True,6.0,10,0.65
201,23,8.73913043478261,198,1.0,1,0,0.23,False,,10,0.65
201,25,8.04,200,0.0,0,0,0.25,False,,10,0.65
201,36,5.583333333333333,192,1.0,1,0,0.36,False,,10,0.65
20,20,1.0,19,0.0,0,0,0.2,True,20.0,10,0.65
201,13,15.461538461538462,200,0.0,0,0,0.13,False,,10,0.65
201,19,10.578947368421053,199,1.0,1,0,0.19,False,,10,0.65
13,13,1.0,11,1.0,1,0,0.13,True,13.0,10,0.65
201,28,7.178571428571429,200,0.0,0,0,0.28,False,,10,0.65
199,40,4.975,170,1.0,1,0,0.4,True,199.0,10,0.65
201,17,11.823529411764707,199,1.0,1,0,0.17,False,,10,0.65
13,13,1.0,12,0.0,0,0,0.13,True,13.0,10,0.65
201,12,16.75,200,0.0,0,0,0.12,False,,10,0.65
201,22,9.136363636363637,188,1.0,1,0,0.22,False,,10,0.65
71,30,2.3666666666666667,65,1.0,1,0,0.3,True,71.0,10,0.65
201,53,3.792452830188679,166,1.096774193548387,2,0,0.53,False,,10,0.65
201,17,11.823529411764707,200,0.0,0,0,0.17,False,,10,0.65
201,37,5.4324324324324325,185,1.1538461538461537,2,0,0.37,False,,10,0.65
201,26,7.730769230769231,196,1.0,1,0,0.26,False,,10,0.65
201,13,15.461538461538462,200,0.0,0,0,0.13,False,,10,0.65
2,2,1.0,1,0.0,0,0,0.02,True,2.0,10,0.65
30,22,1.3636363636363635,24,1.6666666666666667,2,0,0.22,True,30.0,10,0.65
201,22,9.136363636363637,200,0.0,0,0,0.22,False,,10,0.65
201,29,6.931034482758621,199,1.0,1,0,0.29,False,,10,0.65
201,43,4.674418604651163,180,1.1111111111111112,2,0,0.43,False,,10,0.65
201,45,4.466666666666667,176,1.0909090909090908,2,0,0.45,False,,10,0.65
201,26,7.730769230769231,188,1.0,1,0,0.26,False,,10,0.65
201,45,4.466666666666667,172,1.0,1,0,0.45,False,,10,0.65
201,26,7.730769230769231,196,1.0,1,0,0.26,False,,10,0.65
201,20,10.05,200,0.0,0,0,0.2,False,,10,0.65
201,23,8.73913043478261,200,0.0,0,0,0.23,False,,10,0.65
201,36,5.583333333333333,181,1.0,1,0,0.36,False,,10,0.65
201,16,12.5625,200,0.0,0,0,0.16,False,,10,0.65
