path_length,unique_nodes_visited,path_inefficiency_ratio,distractions,avg_hyperfocus,max_hyperfocus,backtracks,coverage,success,steps_to_success,memory_size,attention_threshold
201,37,5.4324324324324325,200,0.0,0,0,0.37,False,,20,0.25
9,9,1.0,8,0.0,0,0,0.09,True,9.0,20,0.25
201,30,6.7,200,0.0,0,0,0.3,False,,20,0.25
201,46,4.369565217391305,194,1.0,1,0,0.46,False,,20,0.25
201,27,7.444444444444445,200,0.0,0,0,0.27,False,,20,0.25
201,33,6.090909090909091,200,0.0,0,0,0.33,False,,20,0.25
201,36,5.583333333333333,200,0.0,0,0,0.36,False,,20,0.25
201,23,8.73913043478261,191,1.0,1,0,0.23,False,,20,0.25
15,15,1.0,14,0.0,0,0,0.15,True,15.0,20,0.25
7,7,1.0,6,0.0,0,0,0.07,True,7.0,20,0.25
9,9,1.0,8,0.0,0,0,0.09,True,9.0,20,0.25
201,24,8.375,200,0.0,0,0,0.24,False,,20,0.25
201,29,6.931034482758621,200,0.0,0,0,0.29,False,,20,0.25
201,33,6.090909090909091,200,0.0,0,0,0.33,False,,20,0.25
201,35,5.742857142857143,200,0.0,0,0,0.35,False,,20,0.25
201,21,9.571428571428571,200,0.0,0,0,0.21,False,,20,0.25
201,26,7.730769230769231,200,0.0,0,0,0.26,False,,20,0.25
39,39,1.0,38,0.0,0,0,0.39,True,39.0,20,0.25
201,45,4.466666666666667,200,0.0,0,0,0.45,False,,20,0.25
201,26,7.730769230769231,200,0.0,0,0,0.26,False,,20,0.25
22,22,1.0,21,0.0,0,0,0.22,True,22.0,20,0.25
201,22,9.136363636363637,200,0.0,0,0,0.22,False,,20,0.25
21,21,1.0,20,0.0,0,0,0.21,True,21.0,20,0.25
201,21,9.571428571428571,200,0.0,0,0,0.21,False,,20,0.25
11,11,1.0,10,0.0,0,0,0.11,True,11.0,20,0.25
201,34,5.911764705882353,200,0.0,0,0,0.34,False,,20,0.25
6,6,1.0,5,0.0,0,0,0.06,True,6.0,20,0.25
24,24,1.0,23,0.0,0,0,0.24,True,24.0,20,0.25
201,44,4.568181818181818,197,1.0,1,0,0.44,False,,20,0.25
24,24,1.0,23,0.0,0,0,0.24,True,24.0,20,0.25
201,35,5.742857142857143,193,1.0,1,0,0.35,False,,20,0.25
201,42,4.785714285714286,200,0.0,0,0,0.42,False,,20,0.25
201,32,6.28125,200,0.0,0,0,0.32,False,,20,0.25
13,13,1.0,12,0.0,0,0,0.13,True,13.0,20,0.25
201,23,8.73913043478261,200,0.0,0,0,0.23,False,,20,0.25
201,31,6.483870967741935,200,0.0,0,0,0.31,False,,20,0.25
24,24,1.0,23,0.0,0,0,0.24,True,24.0,20,0.25
201,24,8.375,200,0.0,0,0,0.24,False,,20,0.25
26,26,1.0,25,0.0,0,0,0.26,True,26.0,20,0.25
201,25,8.04,200,0.0,0,0,0.25,False,,20,0.25
201,34,5.911764705882353,200,0.0,0,0,0.34,False,,20,0.25
201,29,6.931034482758621,200,0.0,0,0,0.29,False,,20,0.25
201,23,8.73913043478261,200,0.0,0,0,0.23,False,,20,0.25
201,32,6.28125,200,0.0,0,0,0.32,False,,20,0.25
201,23,8.73913043478261,200,0.0,0,0,0.23,False,,20,0.25
201,24,8.375,200,0.0,0,0,0.24,False,,20,0.25
18,18,1.0,17,0.0,0,0,0.18,True,18.0,20,0.25
201,26,7.730769230769231,200,0.0,0,0,0.26,False,,20,0.25
17,17,1.0,16,0.0,0,0,0.17,True,17.0,20,0.25
100,44,2.272727272727273,99,0.0,0,0,0.44,True,100.0,20,0.25
