path_length,unique_nodes_visited,path_inefficiency_ratio,distractions,avg_hyperfocus,max_hyperfocus,backtracks,coverage,success,steps_to_success,memory_size,attention_threshold
15,15,1.0,12,1.0,1,0,0.15,True,15.0,10,0.85
180,61,2.9508196721311477,92,2.5588235294117645,6,0,0.61,True,180.0,10,0.85
201,69,2.9130434782608696,108,2.0,6,0,0.69,False,,10,0.85
201,62,3.2419354838709675,125,1.9230769230769231,5,0,0.62,False,,10,0.85
13,13,1.0,6,6.0,6,0,0.13,True,13.0,10,0.85
201,39,5.153846153846154,173,1.5,5,0,0.39,False,,10,0.85
164,68,2.411764705882353,65,3.2666666666666666,8,0,0.68,True,164.0,10,0.85
173,59,2.9322033898305087,98,2.0555555555555554,6,0,0.59,True,173.0,10,0.85
57,31,1.8387096774193548,34,1.375,5,0,0.31,True,57.0,10,0.85
66,39,1.6923076923076923,42,1.4375,3,0,0.39,True,66.0,10,0.85
201,63,3.1904761904761907,104,3.5555555555555554,10,0,0.63,False,,10,0.85
201,59,3.406779661016949,126,1.7209302325581395,6,0,0.59,False,,10,0.85
201,59,3.406779661016949,140,1.5384615384615385,4,0,0.59,False,,10,0.85
140,58,2.413793103448276,78,2.44,7,0,0.58,True,140.0,10,0.85
201,73,2.7534246575342465,110,2.142857142857143,6,0,0.73,False,,10,0.85
68,43,1.5813953488372092,35,1.7777777777777777,4,0,0.43,True,68.0,10,0.85
41,26,1.5769230769230769,29,1.2222222222222223,2,0,0.26,True,41.0,10,0.85
18,18,1.0,11,1.2,2,0,0.18,True,18.0,10,0.85
53,37,1.4324324324324325,31,1.5,3,0,0.37,True,53.0,10,0.85
201,66,3.0454545454545454,120,3.2,7,0,0.66,False,,10,0.85
24,18,1.3333333333333333,14,2.25,4,0,0.18,True,24.0,10,0.85
107,44,2.4318181818181817,68,2.111111111111111,6,0,0.44,True,107.0,10,0.85
201,55,3.6545454545454548,132,1.2830188679245282,3,0,0.55,False,,10,0.85
201,74,2.7162162162162162,80,3.0,9,0,0.74,False,,10,0.85
201,64,3.140625,130,1.5909090909090908,6,0,0.64,False,,10,0.85
201,66,3.0454545454545454,121,2.257142857142857,8,0,0.66,False,,10,0.85
201,49,4.1020408163265305,160,1.7391304347826086,4,0,0.49,False,,10,0.85
201,53,3.792452830188679,143,1.6764705882352942,4,0,0.53,False,,10,0.85
87,48,1.8125,43,2.8666666666666667,8,0,0.48,True,87.0,10,0.85
36,21,1.7142857142857142,23,2.4,4,0,0.21,True,36.0,10,0.85
201,69,2.9130434782608696,103,1.94,7,0,0.69,False,,10,0.85
201,61,3.2950819672131146,132,2.0,6,0,0.61,False,,10,0.85
201,63,3.1904761904761907,101,4.5,12,0,0.63,False,,10,0.85
113,54,2.0925925925925926,66,1.3529411764705883,4,0,0.54,True,113.0,10,0.85
13,13,1.0,7,1.6666666666666667,3,0,0.13,True,13.0,10,0.85
79,30,2.6333333333333333,62,2.2857142857142856,4,0,0.3,True,79.0,10,0.85
105,56,1.875,40,1.8823529411764706,5,0,0.56,True,105.0,10,0.85
16,16,1.0,8,2.3333333333333335,5,0,0.16,True,16.0,10,0.85
97,46,2.108695652173913,62,1.7894736842105263,5,0,0.46,True,97.0,10,0.85
201,62,3.2419354838709675,125,1.829268292682927,4,0,0.62,False,,10,0.85
201,44,4.568181818181818,143,1.5833333333333333,4,0,0.44,False,,10,0.85
201,40,5.025,170,1.3636363636363635,3,0,0.4,False,,10,0.85
65,35,1.8571428571428572,43,1.5,5,0,0.35,True,65.0,10,0.85
21,21,1.0,13,1.75,3,0,0.21,True,21.0,10,0.85
201,72,2.7916666666666665,98,1.8214285714285714,6,0,0.72,False,,10,0.85
122,60,2.033333333333333,65,3.2941176470588234,9,0,0.6,True,122.0,10,0.85
11,11,1.0,6,1.3333333333333333,2,0,0.11,True,11.0,10,0.85
188,73,2.5753424657534247,68,2.7045454545454546,8,0,0.73,True,188.0,10,0.85
67,37,1.8108108108108107,41,2.0833333333333335,4,0,0.37,True,67.0,10,0.85
201,61,3.2950819672131146,118,2.342857142857143,7,0,0.61,False,,10,0.85
