path_length,unique_nodes_visited,path_inefficiency_ratio,distractions,avg_hyperfocus,max_hyperfocus,backtracks,coverage,success,steps_to_success,memory_size,attention_threshold
42,28,1.5,35,1.0,1,0,0.28,True,42.0,15,0.3
201,53,3.792452830188679,164,1.6363636363636365,4,0,0.53,False,,15,0.3
201,62,3.2419354838709675,138,1.9375,5,0,0.62,False,,15,0.3
21,21,1.0,15,1.25,2,0,0.21,True,21.0,15,0.3
201,54,3.7222222222222223,150,1.3888888888888888,4,0,0.54,False,,15,0.3
22,22,1.0,16,1.25,2,0,0.22,True,22.0,15,0.3
12,12,1.0,10,1.0,1,0,0.12,True,12.0,15,0.3
19,19,1.0,17,1.0,1,0,0.19,True,19.0,15,0.3
201,58,3.4655172413793105,141,1.372093023255814,7,0,0.58,False,,15,0.3
95,49,1.9387755102040816,57,2.8461538461538463,12,0,0.49,True,95.0,15,0.3
111,47,2.3617021276595747,79,2.3846153846153846,8,0,0.47,True,111.0,15,0.3
42,35,1.2,24,1.5454545454545454,3,0,0.35,True,42.0,15,0.3
201,47,4.276595744680851,164,1.5,3,0,0.47,False,,15,0.3
19,19,1.0,12,3.0,5,0,0.19,True,19.0,15,0.3
104,47,2.2127659574468086,80,1.6428571428571428,5,0,0.47,True,104.0,15,0.3
188,66,2.8484848484848486,128,1.5128205128205128,4,0,0.66,True,188.0,15,0.3
201,49,4.1020408163265305,168,1.6842105263157894,6,0,0.49,False,,15,0.3
53,36,1.4722222222222223,36,2.0,4,0,0.36,True,53.0,15,0.3
201,48,4.1875,155,2.3684210526315788,5,0,0.48,False,,15,0.3
15,15,1.0,11,1.5,2,0,0.15,True,15.0,15,0.3
201,48,4.1875,155,1.5,4,0,0.48,False,,15,0.3
90,46,1.9565217391304348,56,2.75,5,0,0.46,True,90.0,15,0.3
75,44,1.7045454545454546,32,2.0,5,0,0.44,True,75.0,15,0.3
145,59,2.457627118644068,90,1.9285714285714286,6,0,0.59,True,145.0,15,0.3
184,43,4.27906976744186,111,3.272727272727273,6,0,0.43,True,184.0,15,0.3
201,49,4.1020408163265305,157,1.34375,3,0,0.49,False,,15,0.3
14,14,1.0,7,2.0,3,0,0.14,True,14.0,15,0.3
20,20,1.0,13,1.2,2,0,0.2,True,20.0,15,0.3
201,55,3.6545454545454548,150,1.2820512820512822,3,0,0.55,False,,15,0.3
21,18,1.1666666666666667,17,1.0,1,0,0.18,True,21.0,15,0.3
14,14,1.0,11,1.0,1,0,0.14,True,14.0,15,0.3
122,53,2.30188679245283,94,1.5,5,0,0.53,True,122.0,15,0.3
16,16,1.0,11,1.0,1,0,0.16,True,16.0,15,0.3
16,16,1.0,9,3.0,5,0,0.16,True,16.0,15,0.3
143,64,2.234375,70,2.0,7,0,0.64,True,143.0,15,0.3
201,65,3.0923076923076924,140,1.3043478260869565,6,0,0.65,False,,15,0.3
18,18,1.0,16,1.0,1,0,0.18,True,18.0,15,0.3
68,33,2.0606060606060606,55,1.5,3,0,0.33,True,68.0,15,0.3
8,8,1.0,7,0.0,0,0,0.08,True,8.0,15,0.3
201,62,3.2419354838709675,114,2.324324324324324,8,0,0.62,False,,15,0.3
115,58,1.9827586206896552,71,1.8695652173913044,6,0,0.58,True,115.0,15,0.3
201,52,3.8653846153846154,156,1.2941176470588236,3,0,0.52,False,,15,0.3
194,27,7.185185185185185,174,1.2666666666666666,2,0,0.27,True,194.0,15,0.3
201,25,8.04,185,1.1538461538461537,2,0,0.25,False,,15,0.3
5,5,1.0,4,0.0,0,0,0.05,True,5.0,15,0.3
201,56,3.5892857142857144,128,2.5714285714285716,10,0,0.56,False,,15,0.3
201,65,3.0923076923076924,122,2.3636363636363638,10,0,0.65,False,,15,0.3
65,44,1.4772727272727273,47,1.2142857142857142,3,0,0.44,True,65.0,15,0.3
155,59,2.6271186440677967,95,1.84375,5,0,0.59,True,155.0,15,0.3
88,45,1.9555555555555555,54,1.8333333333333333,6,0,0.45,True,88.0,15,0.3
