path_length,unique_nodes_visited,path_inefficiency_ratio,distractions,avg_hyperfocus,max_hyperfocus,backtracks,coverage,success,steps_to_success,memory_size,attention_threshold
201,89,2.258426966292135,18,9.578947368421053,27,0,0.89,False,,25,0.9
63,58,1.0862068965517242,5,11.4,22,0,0.58,True,63.0,25,0.9
163,88,1.8522727272727273,8,17.11111111111111,66,0,0.88,True,163.0,25,0.9
99,72,1.375,3,23.75,43,0,0.72,True,99.0,25,0.9
3,3,1.0,0,2.0,2,0,0.03,True,3.0,25,0.9
26,26,1.0,2,11.5,19,0,0.26,True,26.0,25,0.9
44,42,1.0476190476190477,0,43.0,43,0,0.42,True,44.0,25,0.9
177,92,1.923913043478261,19,8.263157894736842,25,0,0.92,True,177.0,25,0.9
32,32,1.0,1,15.0,25,0,0.32,True,32.0,25,0.9
75,56,1.3392857142857142,6,22.666666666666668,34,0,0.56,True,75.0,25,0.9
107,81,1.3209876543209877,3,25.75,40,0,0.81,True,107.0,25,0.9
101,70,1.4428571428571428,4,19.2,44,0,0.7,True,101.0,25,0.9
32,32,1.0,1,15.0,24,0,0.32,True,32.0,25,0.9
13,13,1.0,1,11.0,11,0,0.13,True,13.0,25,0.9
54,50,1.08,5,12.0,25,0,0.5,True,54.0,25,0.9
151,75,2.013333333333333,5,24.166666666666668,36,0,0.75,True,151.0,25,0.9
191,90,2.1222222222222222,11,14.916666666666666,25,0,0.9,True,191.0,25,0.9
201,91,2.208791208791209,4,49.0,91,0,0.91,False,,25,0.9
7,7,1.0,1,2.5,4,0,0.07,True,7.0,25,0.9
38,38,1.0,0,37.0,37,0,0.38,True,38.0,25,0.9
201,89,2.258426966292135,20,12.857142857142858,28,0,0.89,False,,25,0.9
115,78,1.4743589743589745,4,22.0,33,0,0.78,True,115.0,25,0.9
33,33,1.0,1,15.5,30,0,0.33,True,33.0,25,0.9
115,77,1.4935064935064934,6,15.428571428571429,37,0,0.77,True,115.0,25,0.9
41,41,1.0,3,12.333333333333334,21,0,0.41,True,41.0,25,0.9
201,85,2.364705882352941,18,10.11111111111111,30,0,0.85,False,,25,0.9
83,58,1.4310344827586208,2,26.666666666666668,32,0,0.58,True,83.0,25,0.9
56,49,1.1428571428571428,6,9.8,17,0,0.49,True,56.0,25,0.9
43,40,1.075,7,5.833333333333333,15,0,0.4,True,43.0,25,0.9
113,74,1.527027027027027,0,112.0,112,0,0.74,True,113.0,25,0.9
56,46,1.2173913043478262,6,7.0,27,0,0.46,True,56.0,25,0.9
42,42,1.0,0,41.0,41,0,0.42,True,42.0,25,0.9
8,8,1.0,2,2.5,3,0,0.08,True,8.0,25,0.9
158,92,1.7173913043478262,14,15.88888888888889,36,0,0.92,True,158.0,25,0.9
28,28,1.0,2,8.333333333333334,16,0,0.28,True,28.0,25,0.9
55,53,1.0377358490566038,7,7.833333333333333,25,0,0.53,True,55.0,25,0.9
92,77,1.1948051948051948,0,91.0,91,0,0.77,True,92.0,25,0.9
4,4,1.0,1,2.0,2,0,0.04,True,4.0,25,0.9
68,51,1.3333333333333333,10,6.333333333333333,15,0,0.51,True,68.0,25,0.9
124,77,1.6103896103896105,0,123.0,123,0,0.77,True,124.0,25,0.9
9,9,1.0,2,3.0,5,0,0.09,True,9.0,25,0.9
44,37,1.1891891891891893,1,21.0,30,0,0.37,True,44.0,25,0.9
49,40,1.225,4,22.0,24,0,0.4,True,49.0,25,0.9
70,62,1.1290322580645162,3,16.5,28,0,0.62,True,70.0,25,0.9
72,62,1.1612903225806452,2,23.0,26,0,0.62,True,72.0,25,0.9
61,54,1.1296296296296295,4,11.2,31,0,0.54,True,61.0,25,0.9
201,90,2.2333333333333334,19,9.05,25,0,0.9,False,,25,0.9
201,92,2.1847826086956523,6,27.714285714285715,52,0,0.92,False,,25,0.9
19,19,1.0,0,18.0,18,0,0.19,True,19.0,25,0.9
165,90,1.8333333333333333,16,11.384615384615385,29,0,0.9,True,165.0,25,0.9
