path_length,unique_nodes_visited,path_inefficiency_ratio,distractions,avg_hyperfocus,max_hyperfocus,backtracks,coverage,success,steps_to_success,memory_size,attention_threshold
200,31,6.451612903225806,110,1.2753623188405796,2,1,0.31,True,200.0,10,0.1
200,56,3.5714285714285716,107,1.4444444444444444,3,1,0.56,True,200.0,10,0.1
200,38,5.2631578947368425,142,1.625,5,5,0.38,True,200.0,10,0.1
200,27,7.407407407407407,129,1.4583333333333333,3,0,0.27,True,200.0,10,0.1
200,28,7.142857142857143,125,1.392156862745098,3,3,0.28,True,200.0,10,0.1
200,44,4.545454545454546,124,1.44,4,3,0.44,True,200.0,10,0.1
189,43,4.395348837209302,139,1.205128205128205,3,2,0.43,False,,10,0.1
200,38,5.2631578947368425,142,1.4736842105263157,2,1,0.38,True,200.0,10,0.1
182,41,4.439024390243903,133,1.4545454545454546,3,0,0.41,False,,10,0.1
146,32,4.5625,115,1.3636363636363635,2,0,0.32,False,,10,0.1
177,28,6.321428571428571,137,1.0606060606060606,2,4,0.28,False,,10,0.1
200,23,8.695652173913043,148,1.2894736842105263,2,2,0.23,True,200.0,10,0.1
171,34,5.029411764705882,121,1.3636363636363635,2,4,0.34,False,,10,0.1
182,45,4.044444444444444,94,1.5,4,0,0.45,False,,10,0.1
200,27,7.407407407407407,117,1.64,3,0,0.27,True,200.0,10,0.1
200,11,18.181818181818183,127,2.0,2,0,0.11,True,200.0,10,0.1
182,38,4.7894736842105265,125,1.3170731707317074,4,2,0.38,False,,10,0.1
200,23,8.695652173913043,110,1.459016393442623,3,0,0.23,True,200.0,10,0.1
178,23,7.739130434782608,115,1.169811320754717,2,0,0.23,False,,10,0.1
200,27,7.407407407407407,130,1.0149253731343284,2,1,0.27,True,200.0,10,0.1
200,40,5.0,137,1.2708333333333333,3,1,0.4,True,200.0,10,0.1
191,38,5.026315789473684,107,1.64,4,1,0.38,False,,10,0.1
195,46,4.239130434782608,114,1.6666666666666667,5,0,0.46,False,,10,0.1
200,11,18.181818181818183,163,1.0,1,0,0.11,True,200.0,10,0.1
196,18,10.88888888888889,177,1.0588235294117647,2,0,0.18,False,,10,0.1
200,18,11.11111111111111,125,1.5416666666666667,4,0,0.18,True,200.0,10,0.1
195,39,5.0,117,1.2222222222222223,3,0,0.39,False,,10,0.1
200,51,3.9215686274509802,129,1.446808510638298,3,2,0.51,True,200.0,10,0.1
190,48,3.9583333333333335,121,1.5348837209302326,3,2,0.48,False,,10,0.1
197,20,9.85,101,1.532258064516129,3,0,0.2,False,,10,0.1
175,22,7.954545454545454,126,1.0,1,2,0.22,False,,10,0.1
194,46,4.217391304347826,131,1.169811320754717,3,0,0.46,False,,10,0.1
200,15,13.333333333333334,142,1.0,1,0,0.15,True,200.0,10,0.1
200,27,7.407407407407407,137,1.3191489361702127,4,0,0.27,True,200.0,10,0.1
189,50,3.78,104,1.3548387096774193,3,0,0.5,False,,10,0.1
200,41,4.878048780487805,136,1.2553191489361701,3,4,0.41,True,200.0,10,0.1
200,30,6.666666666666667,135,1.0,1,3,0.3,True,200.0,10,0.1
200,25,8.0,194,1.6666666666666667,3,0,0.25,True,200.0,10,0.1
200,46,4.3478260869565215,123,1.4423076923076923,4,1,0.46,True,200.0,10,0.1
200,25,8.0,148,1.457142857142857,3,0,0.25,True,200.0,10,0.1
200,17,11.764705882352942,182,1.0,1,0,0.17,True,200.0,10,0.1
192,37,5.1891891891891895,113,1.0405405405405406,3,1,0.37,False,,10,0.1
193,42,4.595238095238095,110,1.265625,3,1,0.42,False,,10,0.1
200,39,5.128205128205129,141,1.2173913043478262,4,2,0.39,True,200.0,10,0.1
200,33,6.0606060606060606,138,1.4186046511627908,4,0,0.33,True,200.0,10,0.1
198,51,3.8823529411764706,99,1.719298245614035,5,0,0.51,False,,10,0.1
191,36,5.305555555555555,133,1.962962962962963,3,4,0.36,False,,10,0.1
181,24,7.541666666666667,141,1.21875,2,0,0.24,False,,10,0.1
195,38,5.131578947368421,153,1.0810810810810811,3,1,0.38,False,,10,0.1
182,49,3.7142857142857144,97,1.8636363636363635,6,2,0.49,False,,10,0.1
