path_length,unique_nodes_visited,path_inefficiency_ratio,distractions,avg_hyperfocus,max_hyperfocus,backtracks,coverage,success,steps_to_success,memory_size,attention_threshold
163,63,2.5873015873015874,120,1.4482758620689655,3,0,0.63,True,163.0,20,0.15
201,47,4.276595744680851,173,1.588235294117647,5,0,0.47,False,,20,0.15
201,67,3.0,141,2.185185185185185,10,0,0.67,False,,20,0.15
19,19,1.0,18,0.0,0,0,0.19,True,19.0,20,0.15
98,41,2.3902439024390243,85,1.3333333333333333,2,0,0.41,True,98.0,20,0.15
11,11,1.0,10,0.0,0,0,0.11,True,11.0,20,0.15
201,50,4.02,178,1.4666666666666666,3,0,0.5,False,,20,0.15
201,59,3.406779661016949,170,1.875,5,0,0.59,False,,20,0.15
18,18,1.0,16,1.0,1,0,0.18,True,18.0,20,0.15
174,39,4.461538461538462,159,2.0,4,0,0.39,True,174.0,20,0.15
34,27,1.2592592592592593,30,1.0,1,0,0.27,True,34.0,20,0.15
38,27,1.4074074074074074,31,1.2,2,0,0.27,True,38.0,20,0.15
201,24,8.375,199,1.0,1,0,0.24,False,,20,0.15
115,55,2.090909090909091,78,2.0,7,0,0.55,True,115.0,20,0.15
201,67,3.0,128,2.6666666666666665,7,0,0.67,False,,20,0.15
18,18,1.0,17,0.0,0,0,0.18,True,18.0,20,0.15
68,36,1.8888888888888888,58,1.125,2,0,0.36,True,68.0,20,0.15
157,52,3.019230769230769,133,1.2105263157894737,3,0,0.52,True,157.0,20,0.15
12,12,1.0,11,0.0,0,0,0.12,True,12.0,20,0.15
201,44,4.568181818181818,175,1.7857142857142858,5,0,0.44,False,,20,0.15
15,15,1.0,14,0.0,0,0,0.15,True,15.0,20,0.15
201,67,3.0,149,1.8888888888888888,6,0,0.67,False,,20,0.15
14,14,1.0,13,0.0,0,0,0.14,True,14.0,20,0.15
21,21,1.0,20,0.0,0,0,0.21,True,21.0,20,0.15
201,62,3.2419354838709675,150,1.6129032258064515,5,0,0.62,False,,20,0.15
21,21,1.0,17,1.0,1,0,0.21,True,21.0,20,0.15
201,56,3.5892857142857144,173,1.4210526315789473,5,0,0.56,False,,20,0.15
201,57,3.526315789473684,176,1.0,1,0,0.57,False,,20,0.15
201,27,7.444444444444445,189,1.2222222222222223,2,0,0.27,False,,20,0.15
19,19,1.0,16,2.0,2,0,0.19,True,19.0,20,0.15
201,55,3.6545454545454548,169,1.24,4,0,0.55,False,,20,0.15
10,10,1.0,9,0.0,0,0,0.1,True,10.0,20,0.15
179,58,3.086206896551724,146,1.28,3,0,0.58,True,179.0,20,0.15
196,61,3.2131147540983607,154,1.5769230769230769,4,0,0.61,True,196.0,20,0.15
53,37,1.4324324324324325,38,3.5,5,0,0.37,True,53.0,20,0.15
201,25,8.04,200,0.0,0,0,0.25,False,,20,0.15
23,23,1.0,20,2.0,2,0,0.23,True,23.0,20,0.15
61,38,1.605263157894737,46,1.75,3,0,0.38,True,61.0,20,0.15
16,16,1.0,14,1.0,1,0,0.16,True,16.0,20,0.15
201,31,6.483870967741935,192,1.0,1,0,0.31,False,,20,0.15
201,49,4.1020408163265305,179,1.9090909090909092,5,0,0.49,False,,20,0.15
201,58,3.4655172413793105,163,1.48,3,0,0.58,False,,20,0.15
15,15,1.0,13,1.0,1,0,0.15,True,15.0,20,0.15
201,55,3.6545454545454548,166,1.619047619047619,4,0,0.55,False,,20,0.15
22,22,1.0,21,0.0,0,0,0.22,True,22.0,20,0.15
14,14,1.0,13,0.0,0,0,0.14,True,14.0,20,0.15
23,23,1.0,20,2.0,2,0,0.23,True,23.0,20,0.15
127,50,2.54,100,2.0,5,0,0.5,True,127.0,20,0.15
16,16,1.0,15,0.0,0,0,0.16,True,16.0,20,0.15
201,38,5.2894736842105265,189,1.0,1,0,0.38,False,,20,0.15
